split,class_name,channel,mean,median,std,variance,rms,min,max,skewness,kurtosis,sample_count
train,Fall,acc1_z,-0.06496821478019517,-0.16070585697889328,1.4254525342297872,2.0319149273421226,1.426932302624707,-10.376323699951172,8.839292526245117,0.01319130797564058,1.2959494618108405,286976
train,Fall,gyro_x,-0.0757078615367201,-0.02665985655039549,2.2417524527614536,5.0254540594619925,2.2430304812374833,-36.890625,30.68051528930664,0.7387436533379638,12.819391406641309,286976
train,Fall,gyro_y,-0.06157009638471538,-0.017901357263326645,1.8988472388536184,3.6056208365020104,1.899845181395272,-18.038890838623047,15.893417358398438,-0.2833469024392399,8.796390911832896,286976
train,Fall,gyro_z,0.041326780368003906,0.0021790938917547464,2.0671702877937403,4.273192998737255,2.0675833481417,-18.502212524414062,19.277244567871094,0.4833691959193651,15.403776381289134,286976
val,All,acc1_x,-0.09174215163104309,-0.03604457527399063,1.0845261511763171,1.176196972585316,1.0883995566754008,-12.008739471435547,11.132498741149902,-0.1827282406820689,4.438669214273997,964672
val,All,acc1_y,0.009729582976917776,-0.3821351230144501,1.0421880569112034,1.0861559459683499,1.0422334722859627,-7.2551069259643555,6.51521635055542,0.2150023309798669,0.6371816275249755,964672
val,All,acc1_z,0.3248135673202444,0.35594192147254944,1.0002190148857024,1.0004380777389248,1.0516377376521955,-8.203133583068848,9.205741882324219,-0.20576420462169018,1.2642895206834135,964672
val,All,gyro_x,-0.0013114720889521377,0.003564070910215378,1.1743607130269882,1.3791230843012563,1.174361445322647,-18.981172561645508,17.545438766479492,0.2538062763071307,21.342458773377924,964672
val,All,gyro_y,0.0113197896336087,0.044456418603658676,1.0932830095683697,1.195267739010872,1.0933416102244629,-11.756068229675293,18.58952522277832,0.20903369809058886,16.539818959017037,964672
val,All,gyro_z,0.014650598259415523,0.004393082577735186,1.1315266540569446,1.2803525688413047,1.1316214954085415,-16.52503776550293,15.06413745880127,0.22026788293923125,21.977561747346094,964672
val,ADL,acc1_x,-0.08219375280218195,-0.034975565969944,1.0017175120887043,1.0034379740251835,1.0050839701362715,-7.752567768096924,6.650124549865723,-0.1533253945354517,2.7505582996786,868672
val,ADL,acc1_y,-0.06564539795167616,-0.4142010509967804,1.000012504639508,1.000025009435382,1.0021648206296287,-5.549377918243408,4.9197001457214355,0.21620071059417525,0.7032059241067383,868672
val,ADL,acc1_z,0.33812402676035463,0.36563147604465485,0.9438709753868566,0.8908924181777361,1.0026067402777488,-5.404571056365967,5.8306169509887695,-0.1498115042736172,0.5535779803803762,868672
val,ADL,gyro_x,0.005030381085512651,0.004010523669421673,0.9800490581369781,0.9604961563551778,0.98006196798419,-14.449727058410645,11.715712547302246,-0.09477927396101546,13.752994652115422,868672
val,ADL,gyro_y,0.013372336730097105,0.04580744728446007,0.9637659972504895,0.9288448974562306,0.9638587639513653,-10.38078784942627,16.55782699584961,0.038569722062509124,11.382620675681496,868672
val,ADL,gyro_z,0.005863304425628215,0.0043991608545184135,0.9715416891835014,0.9438932538215312,0.971559381695385,-15.394481658935547,13.852734565734863,0.03108467069884461,8.656565488527386,868672
val,Fall,acc1_x,-0.17814242983379794,-0.05013840273022652,1.6526177936335988,2.731145571834384,1.662191414110142,-12.008739471435547,11.132498741149902,-0.11061019771010694,3.806451480719722,96000
val,Fall,acc1_y,0.6917726604061215,0.9268777370452881,1.161436324952941,1.3489343369201934,1.3518445733905788,-7.2551069259643555,6.51521635055542,-0.3434539410058287,1.0529635544249274,96000
val,Fall,acc1_z,0.20437165666650117,0.2465251237154007,1.405550015075841,1.9755708448796971,1.4203304611703247,-8.203133583068848,9.205741882324219,-0.19283756757967066,1.352881642782675,96000
val,Fall,gyro_x,-0.05869678751362587,-0.005280539160594344,2.272329555611338,5.16348160930482,2.2730875306879934,-18.981172561645508,17.545438766479492,0.48253855753769576,9.250082342751814,96000
val,Fall,gyro_y,-0.0072530248601493956,0.025461619719862938,1.8988565384489398,3.6056561536102896,1.8988703905164017,-11.756068229675293,18.58952522277832,0.3770623144762244,9.954397181997747,96000
val,Fall,gyro_z,0.09416389106341225,0.0042116292752325535,2.0779412135453046,4.317839686950133,2.0800736826685577,-16.52503776550293,15.06413745880127,0.238894425517184,13.983586105224106,96000
test,All,acc1_x,-0.04080374900770473,0.018566584214568138,1.0060316308821429,1.012099642335384,1.0068587727523994,-11.206114768981934,9.333191871643066,-0.3529033150773354,4.571230703320388,872128
test,All,acc1_y,-0.057394466810574904,-0.416073739528656,1.0091285099603726,1.0183403496148418,1.0107593553538408,-5.635878086090088,6.712104320526123,0.35241396070703945,0.40294772831597214,872128
test,All,acc1_z,0.15006964961348543,0.11883915588259697,0.9993950720781312,0.9987905100940531,1.0105995298975592,-9.072641372680664,11.016378402709961,0.12239277270592605,0.9501494111108006,872128
test,All,gyro_x,0.04141983834066455,0.025122715160250664,1.1941379236896827,1.4259653807939066,1.1948560514982856,-48.521175384521484,18.86976432800293,-0.5216947178702666,40.29338416437109,872128
test,All,gyro_y,-0.027041864408520605,-0.01995617989450693,1.048596355498396,1.0995543167645185,1.0489449838743725,-15.268083572387695,15.122749328613281,0.012826405602410313,13.25328657156977,872128
test,All,gyro_z,0.008053909619873728,-0.0004889860865660012,1.165002035500253,1.3572297427197326,1.1650298743722831,-15.850117683410645,20.004945755004883,0.6194587857015844,20.62596073643177,872128
test,ADL,acc1_x,-0.02660023017783287,0.01963002420961857,0.9271751495839994,0.8596537580061117,0.9275566453061642,-5.832961082458496,6.729034900665283,-0.30925732615275275,3.4501074247426375,795328
test,ADL,acc1_y,-0.12935046838756054,-0.44958218932151794,0.9621886091602283,0.9258069195976947,0.9708442013370507,-5.635878086090088,5.35214376449585,0.31388066979940155,0.43725148923959223,795328
test,ADL,acc1_z,0.15221790118928313,0.1224878802895546,0.9529781302643392,0.9081673167621159,0.9650583434200164,-5.752001762390137,4.060285568237305,0.1769769331873121,0.2176841149592117,795328
test,ADL,gyro_x,0.03715314652265687,0.025551759637892246,1.0168777747721862,1.0340404088256332,1.0175562712313098,-18.22803497314453,14.306676864624023,-0.5294658627074916,11.0012039133782,795328
test,ADL,gyro_y,-0.027159216359664645,-0.017668800428509712,0.9359055137242621,0.875919130619475,0.936299499974632,-11.4998779296875,12.575916290283203,-0.20363456872996633,8.391344507809464,795328
test,ADL,gyro_z,-0.009624644097529942,-0.0007203708519227803,1.0076040762166993,1.0152659744085082,1.0076500425160078,-10.538092613220215,14.652192115783691,-0.15390716591030257,9.529796087314008,795328
test,Fall,acc1_x,-0.1878930227567195,0.0003122700727544725,1.6022107767333744,2.567079373080563,1.6131903672788344,-11.206114768981934,9.333191871643066,-0.18751156702821561,2.7747304828608312,76800
test,Fall,acc1_y,0.6877698928537587,0.8791707456111908,1.1694922649940886,1.3677121578810034,1.3567385832934338,-5.132180213928223,6.712104320526123,-0.11301859991952751,0.0862309710248188,76800
test,Fall,acc1_z,0.12782271433645373,0.06696417927742004,1.3916632057473728,1.9367264782310547,1.3975210640743103,-9.072641372680664,11.016378402709961,-0.04829346225285608,1.5948376101405062,76800
test,Fall,gyro_x,0.08560498769264914,0.015864457935094833,2.3414812016820066,5.4825342178302146,2.3430455462385007,-48.521175384521484,18.86976432800293,-0.3826533328962673,25.123630490826425,76800
test,Fall,gyro_y,-0.025826587161131453,-0.04025331512093544,1.8481021109337066,3.415481412437622,1.8482825609310969,-15.268083572387695,15.122749328613281,0.2990151058960317,8.369414201343446,76800
test,Fall,gyro_z,0.1911300654916866,0.0035254560643807054,2.2049481020841815,4.861796132884634,2.2132164003593253,-15.850117683410645,20.004945755004883,0.9920237300719954,11.873431672997901,76800
