split,channel,lag,autocorrelation
train,gyro_z,3,0.1612915769020447
train,gyro_z,4,0.10662875545874297
train,gyro_z,5,0.10595978631071297
train,gyro_z,6,0.06978665689088959
train,gyro_z,7,0.012786577544432843
train,gyro_z,8,-0.006041567210779061
train,gyro_z,9,-0.004082265464752061
train,gyro_z,10,-0.03361356655150356
train,gyro_z,11,-0.08604892749349415
train,gyro_z,12,-0.11245727479100305
train,gyro_z,13,-0.08617692255298509
train,gyro_z,14,-0.03652946334112869
train,gyro_z,15,-0.02068474280951692
train,gyro_z,16,-0.047326569063502764
train,gyro_z,17,-0.07462990418464314
train,gyro_z,18,-0.07801310175787216
train,gyro_z,19,-0.06596755120625904
train,gyro_z,20,-0.0571976743054925
train,gyro_z,21,-0.06046496945654143
train,gyro_z,22,-0.06574407417584008
train,gyro_z,23,-0.06223304974575041
train,gyro_z,24,-0.05541443244940436
train,gyro_z,25,-0.05093060443155657
train,gyro_z,26,-0.047648896384595726
train,gyro_z,27,-0.044488446482606074
train,gyro_z,28,-0.03922521292829233
train,gyro_z,29,-0.03352742269743985
train,gyro_z,30,-0.034929861388488505
train,gyro_z,31,-0.04241830763786026
train,gyro_z,32,-0.04929402573370377
val,acc1_x,0,1.0
val,acc1_x,1,0.6969987243119317
val,acc1_x,2,0.29606752251063484
val,acc1_x,3,0.18777096579522065
val,acc1_x,4,0.22240760116229885
val,acc1_x,5,0.22336919632992075
val,acc1_x,6,0.16748466235810833
val,acc1_x,7,0.1020041243540066
val,acc1_x,8,0.08110797130908869
val,acc1_x,9,0.07267414420593334
val,acc1_x,10,0.03464344370676504
val,acc1_x,11,-0.00726407870974795
val,acc1_x,12,-0.02731313136710034
val,acc1_x,13,-0.02094047187467487
val,acc1_x,14,0.0015461569252634786
val,acc1_x,15,0.009692421952294975
val,acc1_x,16,-0.010070331113132299
val,acc1_x,17,-0.039762513062175237
val,acc1_x,18,-0.05135960221755847
val,acc1_x,19,-0.04332586562300153
val,acc1_x,20,-0.03881348824037036
val,acc1_x,21,-0.03997189497355043
val,acc1_x,22,-0.038790656523860684
val,acc1_x,23,-0.0458519059943217
val,acc1_x,24,-0.05495350278123854
val,acc1_x,25,-0.05617135359168904
val,acc1_x,26,-0.05801368220425372
val,acc1_x,27,-0.05913563843188721
val,acc1_x,28,-0.059669662084174346
val,acc1_x,29,-0.06450580142696541
val,acc1_x,30,-0.06399617750110882
val,acc1_x,31,-0.06296047397292903
val,acc1_x,32,-0.0751697980631743
val,acc1_y,0,1.0
val,acc1_y,1,0.7537508526895019
val,acc1_y,2,0.36493437221094
val,acc1_y,3,0.127740535492221
val,acc1_y,4,0.041461614690310185
val,acc1_y,5,0.03275782809875937
val,acc1_y,6,0.06884666664432885
val,acc1_y,7,0.11475541072065698
val,acc1_y,8,0.13008078770267928
val,acc1_y,9,0.11113855489575747
val,acc1_y,10,0.08605225094903156
val,acc1_y,11,0.07351397407867813
val,acc1_y,12,0.07426856890294331
val,acc1_y,13,0.08210209912165271
val,acc1_y,14,0.08146975074515819
val,acc1_y,15,0.053103450020046135
val,acc1_y,16,-0.003988031903865279
val,acc1_y,17,-0.06477638319629166
val,acc1_y,18,-0.09709763454659302
val,acc1_y,19,-0.08954843139231673
val,acc1_y,20,-0.056733496699890446
val,acc1_y,21,-0.022813033900391272
val,acc1_y,22,-0.006241944060290607
val,acc1_y,23,-0.015683459309679265
val,acc1_y,24,-0.04611037020421089
val,acc1_y,25,-0.07972253037257139
val,acc1_y,26,-0.0990276972658826
val,acc1_y,27,-0.0993604223434247
val,acc1_y,28,-0.08811932405956067
val,acc1_y,29,-0.07481575548753855
val,acc1_y,30,-0.06710712256969155
val,acc1_y,31,-0.07025765657151056
val,acc1_y,32,-0.08184650730889884
val,acc1_z,0,1.0
val,acc1_z,1,0.7979640174946745
val,acc1_z,2,0.4729927279047569
val,acc1_z,3,0.2544537070060621
val,acc1_z,4,0.16647075479053183
val,acc1_z,5,0.15485736835711794
val,acc1_z,6,0.17375688691885113
val,acc1_z,7,0.19194156694395478
val,acc1_z,8,0.18493477767547875
val,acc1_z,9,0.15720772772041933
val,acc1_z,10,0.13191299198812084
val,acc1_z,11,0.11537977300820736
val,acc1_z,12,0.10589044711089933
val,acc1_z,13,0.10345627268272385
val,acc1_z,14,0.09630838904985105
val,acc1_z,15,0.0646603685173078
val,acc1_z,16,0.004903034214564607
val,acc1_z,17,-0.05991281869541737
val,acc1_z,18,-0.09848273006809781
val,acc1_z,19,-0.10051876771299034
val,acc1_z,20,-0.0788456115479704
val,acc1_z,21,-0.052751798226910535
val,acc1_z,22,-0.03854034688510695
val,acc1_z,23,-0.045982630436813464
val,acc1_z,24,-0.0702172900168426
val,acc1_z,25,-0.09533577044775891
val,acc1_z,26,-0.11064584766528884
val,acc1_z,27,-0.11602927753489463
val,acc1_z,28,-0.11250532036015302
val,acc1_z,29,-0.10342870160612301
val,acc1_z,30,-0.09982000932472608
val,acc1_z,31,-0.10730517802144163
val,acc1_z,32,-0.11860793314086421
val,gyro_x,0,1.0
val,gyro_x,1,0.7509668229106281
val,gyro_x,2,0.3991059145582904
val,gyro_x,3,0.2276809194197145
val,gyro_x,4,0.1568521374346767
val,gyro_x,5,0.11953387511390788
val,gyro_x,6,0.11039777799424877
val,gyro_x,7,0.11239566804805722
val,gyro_x,8,0.0815639378847454
val,gyro_x,9,0.021305153869308816
val,gyro_x,10,-0.02108697005760045
val,gyro_x,11,-0.04441684249035638
val,gyro_x,12,-0.057654503570793006
val,gyro_x,13,-0.05109131326540247
val,gyro_x,14,-0.030813058123916704
val,gyro_x,15,-0.02642554539437331
val,gyro_x,16,-0.05887651204435463
val,gyro_x,17,-0.10472648890386908
val,gyro_x,18,-0.1249029834498203
val,gyro_x,19,-0.11256020344443386
val,gyro_x,20,-0.09029064110397783
val,gyro_x,21,-0.07514547835015659
val,gyro_x,22,-0.06274664579226756
val,gyro_x,23,-0.06330666244646092
val,gyro_x,24,-0.08034421067089767
val,gyro_x,25,-0.0950438708310979
val,gyro_x,26,-0.09713910692889483
val,gyro_x,27,-0.08902032382736318
val,gyro_x,28,-0.0783800535218141
val,gyro_x,29,-0.06702336969199242
val,gyro_x,30,-0.05836989244478893
val,gyro_x,31,-0.0623353434594944
val,gyro_x,32,-0.07138952853148225
val,gyro_y,0,1.0
val,gyro_y,1,0.8289459641084101
val,gyro_y,2,0.5302187593687849
val,gyro_y,3,0.3017985996616933
val,gyro_y,4,0.17638663208115235
val,gyro_y,5,0.10102627871884427
val,gyro_y,6,0.036699681551230975
val,gyro_y,7,-0.018711804542662323
val,gyro_y,8,-0.05436059918413781
val,gyro_y,9,-0.07379378956788758
val,gyro_y,10,-0.09017759579341429
val,gyro_y,11,-0.10533711663385245
val,gyro_y,12,-0.10840465631403985
val,gyro_y,13,-0.09179965544239539
val,gyro_y,14,-0.06355285715403335
val,gyro_y,15,-0.04287679214348013
val,gyro_y,16,-0.0426391287423837
val,gyro_y,17,-0.05680472428411058
val,gyro_y,18,-0.06772337525628633
val,gyro_y,19,-0.06631836187132911
val,gyro_y,20,-0.059073823448846
val,gyro_y,21,-0.05520918797720512
val,gyro_y,22,-0.05580865067566694
val,gyro_y,23,-0.0562437682891147
val,gyro_y,24,-0.052277708667416475
val,gyro_y,25,-0.045244880042063756
val,gyro_y,26,-0.03984484419278614
val,gyro_y,27,-0.037387873149711114
val,gyro_y,28,-0.03582838702168253
val,gyro_y,29,-0.03438031474313498
val,gyro_y,30,-0.035933804720565655
val,gyro_y,31,-0.044313007239639275
val,gyro_y,32,-0.05863701160675102
val,gyro_z,0,1.0
val,gyro_z,1,0.7822092514840503
val,gyro_z,2,0.4185926154882021
val,gyro_z,3,0.18362187212219053
val,gyro_z,4,0.10037703592064116
val,gyro_z,5,0.08008020100442319
val,gyro_z,6,0.05344462573443973
val,gyro_z,7,0.011114770190024381
val,gyro_z,8,-0.01400558789863754
val,gyro_z,9,-0.02219991403923381
val,gyro_z,10,-0.048873183316328846
val,gyro_z,11,-0.09148752530667228
val,gyro_z,12,-0.11286333831162558
val,gyro_z,13,-0.09355432166987435
val,gyro_z,14,-0.05066241456324558
val,gyro_z,15,-0.02319429380889558
val,gyro_z,16,-0.03502391373867018
val,gyro_z,17,-0.0655402611608593
val,gyro_z,18,-0.0789890864386358
val,gyro_z,19,-0.07174336047331564
val,gyro_z,20,-0.06304945702322451
val,gyro_z,21,-0.06364886273907532
val,gyro_z,22,-0.07067827325434334
val,gyro_z,23,-0.07395619894672661
val,gyro_z,24,-0.06432961350864144
val,gyro_z,25,-0.046246345063952456
val,gyro_z,26,-0.03200083251384338
val,gyro_z,27,-0.02679773722269561
val,gyro_z,28,-0.028561787152067322
val,gyro_z,29,-0.03207970259216157
val,gyro_z,30,-0.03289709283134175
val,gyro_z,31,-0.034253723273182296
val,gyro_z,32,-0.0421137376940909
test,acc1_x,0,1.0
test,acc1_x,1,0.7035954563692854
test,acc1_x,2,0.32187423305716706
test,acc1_x,3,0.21152491890620614
test,acc1_x,4,0.2283151615870915
test,acc1_x,5,0.2222118201546685
test,acc1_x,6,0.15553641953067737
test,acc1_x,7,0.07367273000990479
test,acc1_x,8,0.05662520171602137
test,acc1_x,9,0.05177228632774183
test,acc1_x,10,0.0009361834393674665
test,acc1_x,11,-0.04557640532010462
test,acc1_x,12,-0.05566056662269511
test,acc1_x,13,-0.02735169890249794
test,acc1_x,14,0.015159636773633267
test,acc1_x,15,0.012353670012715114
test,acc1_x,16,-0.031143100048032387
test,acc1_x,17,-0.05223640087471479
test,acc1_x,18,-0.03597039310037091
test,acc1_x,19,-0.010278493841295788
test,acc1_x,20,-0.00820746315662628
test,acc1_x,21,-0.029001837805977697
test,acc1_x,22,-0.038964220440121954
test,acc1_x,23,-0.02938356424988763
test,acc1_x,24,-0.025310697377442723
test,acc1_x,25,-0.0380587881397873
test,acc1_x,26,-0.05058817500678795
test,acc1_x,27,-0.04980072391714617
test,acc1_x,28,-0.046714507529601906
test,acc1_x,29,-0.052463860868074016
test,acc1_x,30,-0.06292454908305577
test,acc1_x,31,-0.0710721954767323
test,acc1_x,32,-0.07756985569693221
test,acc1_y,0,1.0
test,acc1_y,1,0.7512698822194356
test,acc1_y,2,0.3484736295291908
test,acc1_y,3,0.08306535896119929
test,acc1_y,4,-0.012529790455851843
test,acc1_y,5,0.002776279300927785
test,acc1_y,6,0.06794812817277102
test,acc1_y,7,0.125836824269734
test,acc1_y,8,0.1370075080845124
test,acc1_y,9,0.1079832879825828
test,acc1_y,10,0.07766539737099636
test,acc1_y,11,0.07028956036442723
test,acc1_y,12,0.0779598167809597
test,acc1_y,13,0.08315263565141273
test,acc1_y,14,0.07596098130695848
test,acc1_y,15,0.041411777641927744
test,acc1_y,16,-0.022367200742110717
test,acc1_y,17,-0.08158538229387852
test,acc1_y,18,-0.09924149454720577
test,acc1_y,19,-0.0721605079710716
test,acc1_y,20,-0.025962050470846307
test,acc1_y,21,0.011270902628047301
test,acc1_y,22,0.02175296537379827
test,acc1_y,23,0.0005178717519193298
test,acc1_y,24,-0.040676251222642484
test,acc1_y,25,-0.07790474475089355
test,acc1_y,26,-0.0901768420957883
test,acc1_y,27,-0.0788801125487691
test,acc1_y,28,-0.06261598995178194
test,acc1_y,29,-0.055518015345056376
test,acc1_y,30,-0.061806152527176396
test,acc1_y,31,-0.0774152076386511
test,acc1_y,32,-0.09014783433482274
test,acc1_z,0,1.0
test,acc1_z,1,0.8000318026094926
test,acc1_z,2,0.46757480265102763
test,acc1_z,3,0.22632693873569715
test,acc1_z,4,0.11899622015786257
test,acc1_z,5,0.11001583852284633
test,acc1_z,6,0.15453077166892662
test,acc1_z,7,0.19754369176590136
test,acc1_z,8,0.19832912451991616
test,acc1_z,9,0.16847090107605445
test,acc1_z,10,0.1374758998373732
test,acc1_z,11,0.11675125056118678
test,acc1_z,12,0.10869402283983937
test,acc1_z,13,0.10733084272409121
test,acc1_z,14,0.09452138741055718
test,acc1_z,15,0.049745092898266556
test,acc1_z,16,-0.0198284362138952
test,acc1_z,17,-0.08001427010794149
test,acc1_z,18,-0.10514271970370138
test,acc1_z,19,-0.0901890056847406
test,acc1_z,20,-0.04963973639061105
test,acc1_z,21,-0.012215759089004647
test,acc1_z,22,-0.0020697797714772873
test,acc1_z,23,-0.023377200230351055
test,acc1_z,24,-0.06305711721767573
test,acc1_z,25,-0.10092222036308433
test,acc1_z,26,-0.11874306930888437
test,acc1_z,27,-0.11373316200928026
test,acc1_z,28,-0.09888200501608514
test,acc1_z,29,-0.0905243048153844
test,acc1_z,30,-0.09688636826927585
test,acc1_z,31,-0.11272630921706742
test,acc1_z,32,-0.12535331400121133
test,gyro_x,0,1.0
test,gyro_x,1,0.7460878731751958
test,gyro_x,2,0.3707406040487718
test,gyro_x,3,0.16468537570299732
test,gyro_x,4,0.08308317853861155
test,gyro_x,5,0.057206950728417284
test,gyro_x,6,0.07186648940197052
test,gyro_x,7,0.09209419663445788
test,gyro_x,8,0.06408932648771412
test,gyro_x,9,0.007866439792001315
test,gyro_x,10,-0.030259679174252815
test,gyro_x,11,-0.04060246922431637
test,gyro_x,12,-0.0403821748876067
test,gyro_x,13,-0.033592518858007736
test,gyro_x,14,-0.01601471820281343
test,gyro_x,15,-0.023830292239938794
test,gyro_x,16,-0.0695927175394276
test,gyro_x,17,-0.10889843747787356
test,gyro_x,18,-0.11692758017824657
test,gyro_x,19,-0.09833282012227088
test,gyro_x,20,-0.067021689100473
test,gyro_x,21,-0.04227082209900187
test,gyro_x,22,-0.03140551498982141
test,gyro_x,23,-0.033966200000954495
test,gyro_x,24,-0.052784099451693184
test,gyro_x,25,-0.0798818790377789
test,gyro_x,26,-0.0907301271004944
test,gyro_x,27,-0.07907794572567568
test,gyro_x,28,-0.05977188243774292
test,gyro_x,29,-0.045703355251896075
test,gyro_x,30,-0.04427876216389705
test,gyro_x,31,-0.053768214515741174
test,gyro_x,32,-0.06648718307464682
test,gyro_y,0,1.0
test,gyro_y,1,0.8365725594921609
test,gyro_y,2,0.547166941062503
test,gyro_y,3,0.31220883256502513
test,gyro_y,4,0.1699655068156572
test,gyro_y,5,0.07789930978849197
test,gyro_y,6,-0.0006109731073138309
test,gyro_y,7,-0.0655681396583574
test,gyro_y,8,-0.10428457150657473
test,gyro_y,9,-0.12623568419780806
test,gyro_y,10,-0.1438433036061211
test,gyro_y,11,-0.14661205985135325
test,gyro_y,12,-0.1224022886136372
test,gyro_y,13,-0.07801976866493308
test,gyro_y,14,-0.036040770745690086
test,gyro_y,15,-0.019127647430079237
test,gyro_y,16,-0.026354942425654105
test,gyro_y,17,-0.03554781019394437
test,gyro_y,18,-0.034340818009505406
test,gyro_y,19,-0.030693105201182312
test,gyro_y,20,-0.03460321671940374
test,gyro_y,21,-0.042964433275140705
test,gyro_y,22,-0.04487376078086536
test,gyro_y,23,-0.037666914612846145
test,gyro_y,24,-0.03068551666288134
test,gyro_y,25,-0.03063545895497567
test,gyro_y,26,-0.03279409436247385
test,gyro_y,27,-0.0313470118453016
test,gyro_y,28,-0.02891199568521382
test,gyro_y,29,-0.031793359068143005
test,gyro_y,30,-0.041219828486799656
test,gyro_y,31,-0.05342646708444838
test,gyro_y,32,-0.06470707986637081
test,gyro_z,0,1.0
test,gyro_z,1,0.7726532621438371
test,gyro_z,2,0.3918128031417893
test,gyro_z,3,0.1626902761216712
test,gyro_z,4,0.1115909267091076
test,gyro_z,5,0.10456951715451575
test,gyro_z,6,0.05683730447564304
test,gyro_z,7,0.00034288691430895394
test,gyro_z,8,-0.015809344739812273
test,gyro_z,9,-0.0239513249243614
test,gyro_z,10,-0.07369854662962505
test,gyro_z,11,-0.1384575677928333
test,gyro_z,12,-0.14832220484450415
test,gyro_z,13,-0.08497314259078934
test,gyro_z,14,-0.012060282661986917
test,gyro_z,15,0.0016485298866037016
test,gyro_z,16,-0.03509886550666539
test,gyro_z,17,-0.06227076203785956
test,gyro_z,18,-0.054592163703600836
test,gyro_z,19,-0.04207228692646057
test,gyro_z,20,-0.052194312628554396
test,gyro_z,21,-0.06792524748766683
test,gyro_z,22,-0.060378590403009136
test,gyro_z,23,-0.035411909902385894
test,gyro_z,24,-0.02304705767806791
test,gyro_z,25,-0.034863649490888306
test,gyro_z,26,-0.05013891660928501
test,gyro_z,27,-0.050358453875715144
test,gyro_z,28,-0.04324932765444052
test,gyro_z,29,-0.04105426780286355
test,gyro_z,30,-0.04157875557166754
test,gyro_z,31,-0.038610349876032034
test,gyro_z,32,-0.034572350252179994
